Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
Clematis ligusticifolia,"Botanical Names: Clematis ligusticifolia var. ligusticifolia,Clematis ligusticifolia var. brevifolia,Clematis ligusticifolia var. californicaCommon Names: Creek Clematis, Old-man's Beard, Western Virgin's Bower, Western White Clematis, Yerba De Chiva","Vine, Perennial herb",1 - 30 ft tall2 - 6 in wide,,"4.1"" - 89.4""","0.15"" - 4.07""","Full Shade, Part Shade",Low,Tolerant of sand and clay. Tolerates Serpentine Soil. Soil PH: 5 - 8," 9.1"" - 56.5"""," 32.8"" - 84.1""",Tolerates cold to -20 - -10° F,"0.09"" - 38.61""","-7"" - 14019""",Deer Resistant,"White,  Cream",Very Easy,2560,https://inaturalist-open-data.s3.amazonaws.com/photos/49378720/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Clematis-ligusticifolia-(Virgin\'s-Bower)?srchcr=sc61ab02a473e1f"
Salix laevigata,Common Names: Polished Willow,Tree,30 - 50 ft tall30 - 50 ft wide,,"3.2"" - 70.1""","0.14"" - 3.61""","Full Sun, Part Shade",Moderate - High,Heavy moist soils. Soil PH: 6 - 8," 29.2"" - 59.1"""," 53.6"" - 87.7""",Tolerates cold to -20 - 10° F,"0.18"" - 41.19""","-11"" - 8418""","Bogs and Ponds, Bird Gardens, Butterfly Gardens, Bee Gardens","Cream,  Yellow,  Red",Very Easy,2000,https://inaturalist-open-data.s3.amazonaws.com/photos/190991/small.JPG,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Salix-laevigata-(Red-Willow)?srchcr=sc61ab02a473e1f"
Encelia californica,"Common Names: California Brittlebush, California Encelia",Shrub,1.6 - 5 ft tall3 - 7 ft wide,,"4.4"" - 35.5""","0.15"" - 2.65""","Part Shade, Full Sun",Very Low,Tolerates a wide variety of soils. Tolerates Sodic Soil. Soil PH: 6 - 8," 39.9"" - 61.4"""," 62.5"" - 88.8""",Tolerates cold to 30° F,"0.82"" - 42.79""","-1648"" - 5439""","Groundcovers, Bank Stabilization, Bird Gardens, Butterfly Gardens, Bee Gardens","Brown,  Purple,  Yellow",Very Easy,9918,https://inaturalist-open-data.s3.amazonaws.com/photos/6773467/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Encelia-californica-(Bush-Sunflower)?srchcr=sc61ab02a473e1f"
Mimulus aurantiacus var. puniceus,"Botanical Names: Mimulus puniceus,Diplacus puniceus",Shrub,1 - 2 ft tall2 - 3 ft wide,,"9.5"" - 35.3""","0.19"" - 2.65""","Part Shade, Full Sun",Very Low,"Dry, well draining soil.. Soil PH: 6 - 8"," 36.0"" - 57.3"""," 60.9"" - 80.8""",Tolerates cold to 15° F,"1.37"" - 28.60""","7"" - 7631""","Deer Resistant, Hummingbird Gardens, Bird Gardens, Butterfly Gardens, Bee Gardens","Orange,  Red",Moderately Easy,11806,https://inaturalist-open-data.s3.amazonaws.com/photos/3808493/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Mimulus-aurantiacus-var.-puniceus-(Red-Bush-Monkeyflower)?srchcr=sc61ab02a473e1f"
Eriogonum parvifolium,"Common Names: Coast Buckwheat, Dune Buckwheat, Dune Eriogonum, Sea-cliff Buckwheat, Seacliff Buckwheat",Shrub,1 - 3.3 ft tall2 - 3 ft wide,,"9.6"" - 45.5""","0.16"" - 0.76""","Part Shade, Full Sun",Very Low,"Sandy rocky soils, sandstone. Soil PH: 5 - 8"," 41.0"" - 56.7"""," 58.0"" - 77.4""",Tolerates cold to 0 - 10° F,"0.47"" - 25.87""","-217"" - 4469""","Bank Stabilization, Groundcovers, Bird Gardens, Butterfly Gardens, Bee Gardens","Pink,  Red,  White,  Yellow,  Green",Very Easy,2148,https://inaturalist-open-data.s3.amazonaws.com/photos/61304169/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Eriogonum-parvifolium-(Sea-Cliff-Buckwheat)?srchcr=sc61ab02a473e1f"
Salvia leucophylla,Common Names: San Luis Purple Sage,Shrub,2 - 5 ft tall3 - 10 ft wide,,"7.4"" - 37.3""","0.14"" - 1.43""",Full Sun,"Extremely Low, Very Low",Variable. Soil PH: 5 - 8," 40.5"" - 56.1"""," 62.3"" - 80.3""",Tolerates cold to 0 - 10° F,"0.72"" - 27.58""","11"" - 5843""","Bank Stabilization, Groundcovers, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Purple,  Lavender,  Pink",Very Easy,3669,https://inaturalist-open-data.s3.amazonaws.com/photos/31346/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Salvia-leucophylla-(Purple-Sage)?srchcr=sc61ab02a473e1f"
Eschscholzia californica,Common Names: California Goldenpoppy,"Annual herb, Perennial herb",0.16 - 2 ft tall1 - 2 ft wide,"['USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","3.3"" - 108.1""","0.13"" - 3.08""",Full Sun,"Very Low, Low","Prefers sandy, infertile, well-drained soils.. Soil PH: 5 - 8"," 24.6"" - 61.4"""," 45.5"" - 88.4""",Tolerates cold to 10 - 20° F,"0.01"" - 42.13""","-10"" - 11310""","Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Orange,  Yellow",Very Easy,35320,https://static.inaturalist.org/photos/1184021/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Eschscholzia-californica-(California-Poppy)?srchcr=sc61ab02a473e1f"
Malacothamnus fasciculatus,"Botanical Names: Malacothamnus arcuatus,Malacothamnus mendocinensis,Malacothamnus parishiiCommon Names: Mendocino Bushmallow",Shrub,3.3 - 16.4 ft tall10 ft wide,,"4.5"" - 52.0""","0.14"" - 2.83""",Full Sun,Very Low,Tolerant of a variety of soils as long as drainage is good. Soil PH: 6.0 - 7.0," 30.5"" - 57.7"""," 59.5"" - 86.7""",Tolerates cold to 15° F,"0.82"" - 37.63""","-3814"" - 8715""","Bank Stabilization, Deer Resistant, Hummingbird Gardens, Bird Gardens, Butterfly Gardens",Pink,Moderately Easy,4438,https://static.inaturalist.org/photos/19155029/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Malacothamnus-fasciculatus-(Chaparral-Mallow)?srchcr=sc61ab02a473e1f"
Artemisia californica,"Common Names: Coast Sagebrush, Coastal Sage Brush, Coastal Sagebrush",Shrub,1 - 8 ft tall4 ft wide,,"3.4"" - 63.5""","0.14"" - 1.67""",Full Sun,"Extremely Low, Very Low","Usually found on very dry slopes or sandy soil with low nutrient content, although it is also said to tolerate clay. Soil PH: 5.0 - 8.0"," 39.8"" - 59.4"""," 57.7"" - 87.8""",Tolerates cold to 20° F,"0.29"" - 38.63""","-22"" - 4748""","Bank Stabilization, Groundcovers, Butterfly Gardens, Deer Resistant, Bird Gardens","Cream,  White,  Yellow",Very Easy,15026,https://static.inaturalist.org/photos/121001827/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Artemisia-californica-(California-Sagebrush)?srchcr=sc61ab02a473e1f"
Lupinus succulentus,"Common Names: Arroyo Lupine, Hollowleaf Annual Lupine",Annual Herb,2 - 4 ft tall3 ft wide,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)', 'USDA Zone 11: above 4.5 °C (40 °F)']","6.6"" - 56.2""","0.14"" - 1.98""","Full Sun, Part Shade",Low,"Tolerates a variety of soils but performs best in heavy, moist soil. Soil PH: 6.0 - 8.0"," 39.8"" - 57.4"""," 60.4"" - 80.8""",Tolerates cold to 25° F,"0.59"" - 29.70""","-35"" - 4373""","Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  Lavender,  White",Moderately Easy,4007,https://static.inaturalist.org/photos/1573021/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Lupinus-succulentus-(Succulent-Lupine)?srchcr=sc61ab02a473e1f"
Rosa californica,Common Names: California Wild Rose,Shrub,8 - 10 ft tall10 ft wide,,"5.8"" - 112.6""","0.14"" - 3.31""","Full Sun,  Part Shade,  Full Shade","Low, Moderate - High",Tolerates clay but does best in moist loamy soil. Soil PH: 5.0 - 8.0," 28.4"" - 57.0"""," 53.2"" - 80.9""",Tolerates cold to -10° F,"0.04"" - 29.77""","-6"" - 8144""","Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Red,  Pink,  White",Very Easy,6329,https://inaturalist-open-data.s3.amazonaws.com/photos/26169244/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Rosa-californica-(California-Wildrose)?srchcr=sc61ab02a473e1f"
Vitis girdiana,"Common Names: Southern California Grape, Valley Grape","Shrub, Vine",10 - 50 ft tall,,"2.8"" - 39.0""","0.17"" - 2.54""","Full Sun,  Part Shade","Low, Moderate - High",Tolerates a variety of soils. Soil PH: 6.0 - 8.0," 38.6"" - 59.3"""," 63.1"" - 88.6""",Tolerates cold to 0° F,"1.14"" - 45.66""","17"" - 5937""","Groundcovers, Bird Gardens",Green,Very Easy,837,https://static.inaturalist.org/photos/4265418/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Vitis-girdiana-(Desert-Wild-Grape)?srchcr=sc61ab02a473e1f"
Artemisia tridentata,Common Names: Big Sagebush,Shrub,3 - 15 ft tall10 ft wide,,"3.8"" - 85.2""","0.12"" - 4.47""",Full Sun,"Extremely Low, Very Low","Prefers coarse, well drained soil such as decomposed granite. Soil PH: 6.0 - 8.5"," 17.4"" - 56.0"""," 38.7"" - 80.7""",Tolerates cold to -10° F,"0.38"" - 33.62""","53"" - 14200""","Bank Stabilization, Groundcovers, Hedges, Deer Resistant, Bird Gardens","Yellow,  Cream,  White,  Green",Very Easy,9609,https://inaturalist-open-data.s3.amazonaws.com/photos/22037259/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Artemisia-tridentata-(Big-Sagebrush)?srchcr=sc61ab02a473e1f"
Eriophyllum confertiflorum,"Common Names: Golden-yarrow, Yellow Yarrow","Annual herb, Perennial herb, Shrub",1.6 - 2.3 ft tall1.5 ft wide,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)', 'USDA Zone 11: above 4.5 °C (40 °F)']","3.8"" - 119.3""","0.14"" - 4.07""",Full Sun,Very Low,Tolerates clay soil. Tolerates Sodic Soil. Soil PH: 5.0 - 8.0," 19.6"" - 58.2"""," 41.1"" - 86.9""",Tolerates cold to 5° F,"0.42"" - 37.96""","0"" - 11399""","Deer Resistant, Butterfly Gardens, Bee Gardens",Yellow,Moderately Easy,8672,https://inaturalist-open-data.s3.amazonaws.com/photos/3067259/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Eriophyllum-confertiflorum-(Golden-Yarrow)?srchcr=sc61ab02a473e1f"
Adenostoma fasciculatum,"Common Names: Common Chamise, Greasewood",Shrub,3 - 13.1 ft tall1 - 8 ft wide,,"7.7"" - 89.1""","0.14"" - 2.99""",Full Sun,"Extremely Low, Very Low",Tolerant of sand and clay. Soil PH: 5.0 - 8.0," 25.1"" - 57.2"""," 48.3"" - 83.7""",Tolerates cold to 15° F,"0.09"" - 34.59""","-261"" - 10807""","Hedges, Bank Stabilization, Groundcovers, Bird Gardens, Deer Resistant, Bee Gardens, Butterfly Gardens",White,,9847,https://inaturalist-open-data.s3.amazonaws.com/photos/9476/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Adenostoma-fasciculatum-(Chamise)?srchcr=sc61ab02a473e1f"
Rhamnus crocea,Common Names: Redberry Buckthorn,Shrub,3.3 - 7 ft tall7 ft wide,,"6.2"" - 64.7""","0.14"" - 3.07""","Full Sun, Part Shade","Extremely Low, Very Low",Tolerates clay but prefers well drained soil. Soil PH: 5.0 - 7.0," 28.9"" - 57.1"""," 49.9"" - 80.8""",Tolerates cold to 25° F,"0.47"" - 30.21""","6"" - 10045""","Bank Stabilization, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","White,  Yellow,  Cream",Very Easy,3210,https://static.inaturalist.org/photos/35903/small.JPG,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Rhamnus-crocea-(Spiny-Redberry)?srchcr=sc61ab02a473e1f"
Phacelia grandiflora,"Common Names: Giant-flowerd Phacelia, Large-flowered Phacelia, Largeflower Phacelia",Annual herb,1 - 3.3 ft tall,,"4.0"" - 35.3""","0.15"" - 1.59""",Full Sun,Low,Typically sandy and/or rocky," 39.9"" - 56.5"""," 64.5"" - 87.8""",Tolerates cold to 15° F,"1.10"" - 38.88""","1"" - 5871""","Butterfly Gardens, Bee Gardens","Blue,  Lavender,  Purple",Moderately Easy,870,https://inaturalist-open-data.s3.amazonaws.com/photos/11462/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Phacelia-grandiflora-(Large-Flowered-Phacelia)?srchcr=sc61ab02a473e1f"
Stipa pulchra,"Botanical Names: Nassella pulchraCommon Names: Purple Stipa, Purple Tussockgrass",Grasses,3.3 ft tall1.5 ft wide,,"6.5"" - 98.2""","0.14"" - 2.52""",Full Sun,"Low, Very Low","Found in virtually every type of soil. Tolerates Serpentine Soil,Tolerates Sodic Soil. Soil PH: 6.0 - 8.0"," 25.7"" - 57.6"""," 48.6"" - 84.4""",Tolerates cold to 5° F,"0.02"" - 36.40""","-151"" - 9884""","Groundcovers, Deer Resistant, Butterfly Gardens","Cream,  Green,  Purple,  Red",Very Easy,1820,https://inaturalist-open-data.s3.amazonaws.com/photos/3610426/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Stipa-pulchra-(Purple-Needlegrass)?srchcr=sc61ab02a473e1f"
Dudleya lanceolata,"Common Names: Lanceleaf Dudleya, Southern California Dudleya","Perennial herb, Succulent",4.2 - 8.4 in tall1 ft wide,,"7.3"" - 43.2""","0.14"" - 2.64""",Full Sun,Very Low,Tolerates sand and clay but prefers very rocky substrate. Soil PH: 5.0 - 8.0," 33.5"" - 56.7"""," 60.9"" - 83.2""",Tolerates cold to 12° F,"0.47"" - 34.11""","0"" - 7631""","Bird Gardens, Hummingbird Gardens, Butterfly Gardens","Orange,  Pink,  Red,  Yellow",,3927,https://static.inaturalist.org/photos/63796717/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Dudleya-lanceolata-(Lanceleaf-Liveforever)?srchcr=sc61ab02a473e1f"
Asclepias fascicularis,"Common Names: Mexican Whorled Milkweed, Narrow-leaf Milkweed, Narrow-leaved Milkweed, Narrowleaf Milkweed",Perennial herb,1.7 - 3.3 ft tall1 ft wide,,"3.8"" - 117.4""","0.13"" - 3.60""",Full Sun,"Low, Moderate - High","Tolerates a variety of soils including sandy, clay and saline. Tolerates Saline Soil. Soil PH: 6.0 - 8.0"," 23.0"" - 59.2"""," 42.6"" - 87.9""",Tolerates cold to 5° F,"0.47"" - 40.28""","-180"" - 11144""","Butterfly Gardens, Deer Resistant, Bird Gardens","White,  Lavender",Moderately Easy,5827,https://inaturalist-open-data.s3.amazonaws.com/photos/11619/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Asclepias-fascicularis-(Narrow-Leaf-Milkweed)?srchcr=sc61ab02a473e1f"
Ribes malvaceum,,Shrub,5 - 8 ft tall5 ft wide,,"8.6"" - 62.4""","0.14"" - 2.66""","Part Shade,  Full Sun",Very Low,"Medium and coarse, dry. Soil PH: 5.8 - 8.2"," 30.5"" - 57.4"""," 50.4"" - 83.3""",Tolerates cold to 34 - 96° F,"0.04"" - 34.12""","-247"" - 10031""","Deer Resistant, Bird Gardens, Hummingbird Gardens, Butterfly Gardens, Bee Gardens","Pink,  Purple",Very Easy,1582,https://static.inaturalist.org/photos/14110702/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Ribes-malvaceum-(Chaparral-Currant)?srchcr=sc61ab02a473e1f"
Prunus ilicifolia,"Common Names: Catalina Island Cherry, Holly-leaf Cherry, Holly-leaved Cherry",Tree,30 - 49.2 ft tall20 ft wide,"['USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)']","4.6"" - 52.9""","0.13"" - 3.04""","Full Sun,  Part Shade",Very Low,"Tolerant of a variety of soils but will grow largest and fastest in coarse, fast draining, relatively fertile garden soil. Soil PH: 5.0 - 8.0"," 33.4"" - 57.3"""," 62.3"" - 84.0""",Tolerates cold to 15° F,"0.47"" - 34.82""","0"" - 6785""","Bank Stabilization, Hedges, Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens","Cream,  White",Very Easy,5588,https://inaturalist-open-data.s3.amazonaws.com/photos/49953932/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Prunus-ilicifolia-(Hollyleaf-Cherry)?srchcr=sc61ab02a473e1f"
Mirabilis laevis var. crassifolia,Botanical Names: Mirabilis californica,Perennial herb,2.6 ft tall10 ft wide,,"3.6"" - 34.7""","0.14"" - 2.23""","Full Sun, Part Shade",Low,Adaptable. Soil PH: 5.0 - 8.0," 32.3"" - 59.4"""," 56.7"" - 87.6""",Tolerates cold to 30° F,"0.86"" - 39.72""","-7"" - 8177""",Groundcovers,"Lavender,  Pink,  Purple",Moderately Easy,7119,https://inaturalist-open-data.s3.amazonaws.com/photos/39221/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Mirabilis-laevis-var.-crassifolia-(California-Four-O\'clock)?srchcr=sc61ab02a473e1f"
Datura wrightii,"Common Names: Sacred Datura, Sacred Thorn-apple, Sacred Thornapple",Perennial herb,1 - 5 ft tall6 ft wide,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)']","3.0"" - 63.5""","0.14"" - 3.08""","Part Shade, Full Sun",Low,Adaptable but prefers coarse well drained soil," 34.5"" - 63.3"""," 61.2"" - 89.1""",,"0.68"" - 40.59""","-94"" - 6907""","Groundcovers, Deer Resistant","Purple,  White",Moderately Easy,12862,https://inaturalist-open-data.s3.amazonaws.com/photos/52166893/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Datura-wrightii-(Toluaca)?srchcr=sc61ab02a473e1f"
Salix lasiolepis,Botanical Names: Salix lasiolepis var. bigeloviiCommon Names: Arroyo Uillou,"Tree, Shrub",7 - 35 ft tall15 ft wide,,"3.2"" - 151.0""","0.14"" - 5.63""",Full Sun,Moderate - High,Tolerates a variety of soils as long as adequate drainage is provided. Soil PH: 5.0 - 8.0," 19.2"" - 57.0"""," 41.2"" - 83.5""",Tolerates cold to -15° F,"0.10"" - 35.42""","-714"" - 12704""","Bogs and Ponds, Hedges, Bird Gardens, Butterfly Gardens, Bee Gardens","Cream,  Yellow",Very Easy,6265,https://inaturalist-open-data.s3.amazonaws.com/photos/16056750/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Salix-lasiolepis-(Arroyo-Willow)?srchcr=sc61ab02a473e1f"
Collinsia heterophylla,"Common Names: Harlequin Blue Eyed Mary, Innocence",Annual herb,0.33 - 1.6 ft tall4 in wide,,"4.9"" - 70.3""","0.14"" - 3.00""","Part Shade, Full Sun",Low,"Prefers rich, loamy soil. Soil PH: 5.0 - 6.0"," 24.6"" - 57.7"""," 45.5"" - 84.4""",Tolerates cold to 0° F,"0.39"" - 35.52""","-3814"" - 11310""","Butterfly Gardens, Bee Gardens","Blue,  Lavender,  Purple",Very Easy,4213,https://inaturalist-open-data.s3.amazonaws.com/photos/852/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Collinsia-heterophylla-(Purple-Chinese-Houses)?srchcr=sc61ab02a473e1f"
Dipterostemon capitatus,"Botanical Names: Brodiaea pulchella, Dichelostemma capitatusCommon Names: Blue Dips Vernal Pool Blue Dicks, Bluedicks, Wildhyacinth",Perennial herb,1.5 - 2 ft tall2 in wide,,"2.9"" - 133.4""","0.15"" - 3.85""",Full Sun,Low,Adaptable," 30.9"" - 58.8"""," 57.8"" - 88.3""",Tolerates cold to -20° F,"0.09"" - 38.38""","-131"" - 8105""","Groundcovers, Deer Resistant, Butterfly Gardens","Lavender,  Blue",moderately easy,16641,https://inaturalist-open-data.s3.amazonaws.com/photos/2641/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Dipterostemon-capitatus-(Blue-Dicks)?srchcr=sc61ab02a473e1f"
Phacelia viscida,"Common Names: Tacky Phacelia, Tacky Scorpionweed",Annual herb,2.3 ft tall2.3 ft wide,,"5.3"" - 37.1""","0.14"" - 1.08""",Full Sun,Very Low,"Prefers rich, well drained soil"," 33.7"" - 56.3"""," 63.0"" - 85.0""",Tolerates cold to 20° F,"0.47"" - 36.22""","0"" - 5138""","Butterfly Gardens, Bee Gardens",Blue,Moderately Easy,373,https://inaturalist-open-data.s3.amazonaws.com/photos/31715592/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Phacelia-viscida-(Sticky-Phacelia)?srchcr=sc61ab02a473e1f"
Juglans californica,"Botanical Names: Juglans californica var. californicaCommon Names: Southern Black Walnut, Southern California Walnut",Tree,50 - 75 ft tall50 - 75 ft wide,,"5.8"" - 70.7""","0.16"" - 2.61""","Full Sun,  Part Shade",Moderate - High,Adaptable. Soil PH: 6 - 7," 38.0"" - 56.8"""," 62.9"" - 85.5""",Tolerates cold to 20 - 25° F,"0.09"" - 36.34""","-1"" - 6720""","Bank Stabilization, Deer Resistant, Bird Gardens",Yellow,,2353,https://inaturalist-open-data.s3.amazonaws.com/photos/7086/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Juglans-californica-(Southern-California-Black-Walnut)?srchcr=sc61ab02a473e1f"
Nemophila menziesii,Common Names: Baby Blue-eyes,Annual herb,6 in tall.5 ft wide,,"4.6"" - 113.7""","0.14"" - 3.21""","Full Sun,  Part Shade",Low,Sandy to loamy. Soil PH: 6.0 - 8.0," 27.1"" - 56.6"""," 48.3"" - 84.2""",Tolerates cold to 5° F,"0.29"" - 37.04""","3"" - 10144""",,Blue,Moderately Easy,5684,https://inaturalist-open-data.s3.amazonaws.com/photos/40638993/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Nemophila-menziesii-(Baby-Blue-Eyes)?srchcr=sc61ab02a473e1f"
Umbellularia californica,"Common Names: California Bay Tree, Oregon Myrtle",Tree,6 - 80 ft tall3 - 30 ft wide,,"10.0"" - 141.0""","0.14"" - 4.96""","Full Sun,  Part Shade",Low,Tolerates a variety of soils including clay and serpentine. Tolerates Serpentine Soil. Soil PH: 5.0 - 8.0," 24.6"" - 56.0"""," 45.5"" - 83.3""",Tolerates cold to 10° F,"0.01"" - 34.12""","3"" - 11310""","Bank Stabilization, Hedges, Deer Resistant","Yellow,  Cream,  White,  Green",Very Easy,11218,https://inaturalist-open-data.s3.amazonaws.com/photos/3066372/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Umbellularia-californica-(California-Laurel)?srchcr=sc61ab02a473e1f"
Ceanothus spinosus,"Common Names: Redheart, Spiny Ceanothus",Shrub,10 - 20 ft tall10 ft wide,,"7.5"" - 36.1""","0.14"" - 1.99""",Full Sun,Very Low,Tolerates a variety of soils. Soil PH: 6.0 - 7.0," 40.1"" - 56.1"""," 64.0"" - 83.5""",Tolerates cold to 5° F,"0.72"" - 33.74""","1"" - 6180""","Bank Stabilization, Bird Gardens, Butterfly Gardens, Bee Gardens","Blue,  White",Moderately Easy,1002,https://inaturalist-open-data.s3.amazonaws.com/photos/37499/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Ceanothus-spinosus-(Greenbark-Ceanothus)?srchcr=sc61ab02a473e1f"
Salix gooddingii,Common Names: Goodding's Willow,Tree,15 - 40 ft tall25 ft wide,,"2.4"" - 62.3""","0.15"" - 2.68""",Full Sun,Moderate - High,Tolerates a variety of soils as long as adequate moisture is present. Tolerates Sodic Soil. Soil PH: 5.0 - 8.0," 17.5"" - 61.6"""," 36.4"" - 89.7""",Tolerates cold to 10° F,"0.46"" - 47.39""","-216"" - 14166""","Bogs and Ponds, Bird Gardens, Butterfly Gardens, Bee Gardens",Green,,2730,https://inaturalist-open-data.s3.amazonaws.com/photos/28280456/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Salix-gooddingii-(Goodding\'s-Black-Willow)?srchcr=sc61ab02a473e1f"
